film_id,title_clean,description_clean,category_name,language_name,length,Copias_en_inventario
19,"Amadeus holy","A emotional display of a pioneer and a technical writer who must battle a man in a baloon",Action,English,113,6
21,"American circus","A insightful drama of a girl and a astronaut who must face a database administrator in a shark tank",Action,English,129,6
29,"Antitrust tomatoes","A fateful yarn of a womanizer and a feminist who must succumb a database administrator in ancient india",Action,English,168,2
56,"Barefoot manchurian","A intrepid story of a cat and a student who must vanquish a girl in an abandoned amusement park",Action,English,129,5
67,"Berets agent","A taut saga of a crocodile and a boy who must overcome a technical writer in ancient china",Action,English,77,6
97,"Bride intrigue","A epic tale of a robot and a monkey who must vanquish a man in new orleans",Action,English,56,6
105,"Bull shawshank","A fanciful drama of a moose and a squirrel who must conquer a pioneer in the canadian rockies",Action,English,125,5
111,"Caddyshack jedi","A awe-inspiring epistle of a woman and a madman who must fight a robot in soviet georgia",Action,English,52,4
115,"Campus remember","A astounding drama of a crocodile and a mad cow who must build a robot in a jet boat",Action,English,167,7
126,"Casualties encino","A insightful yarn of a a shark and a pastry chef who must face a boy in a monastery",Action,English,179,3
130,"Celebrity horn","A amazing documentary of a secret agent and a astronaut who must vanquish a hunter in a shark tank",Action,English,110,6
162,"Clueless bucket","A taut tale of a car and a pioneer who must conquer a sumo wrestler in an abandoned fun house",Action,English,95,7
194,"Crow grease","A awe-inspiring documentary of a woman and a husband who must sink a database administrator in the first manned space station",Action,English,104,4
205,"Dances none","A insightful reflection of a a shark and a dog who must kill a butler in an abandoned amusement park",Action,English,58,4
210,"Darko dorado","A stunning reflection of a frisbee and a husband who must redeem a dog in new orleans",Action,English,130,3
212,"Darn forrester","A fateful story of a a shark and a explorer who must succumb a technical writer in a jet boat",Action,English,185,5
229,"Devil desire","A beautiful reflection of a monkey and a dentist who must face a database administrator in ancient japan",Action,English,87,4
250,"Dragon squad","A taut reflection of a boy and a waitress who must outgun a teacher in ancient china",Action,English,170,4
252,"Dream pickup","A epic display of a car and a composer who must overcome a forensic psychologist in the gulf of mexico",Action,English,135,6
253,"Drifter commandments","A epic reflection of a womanizer and a squirrel who must discover a husband in a jet boat",Action,English,61,6
271,"Easy gladiator","A fateful story of a monkey and a girl who must overcome a pastry chef in ancient india",Action,English,148,5
287,"Entrapment satisfaction","A thoughtful panorama of a hunter and a teacher who must reach a mad cow in a u-boat",Action,English,176,4
292,"Excitement eve","A brilliant documentary of a monkey and a car who must conquer a crocodile in a shark tank",Action,English,51,6
303,"Fantasy troopers","A touching saga of a teacher and a monkey who must overcome a secret agent in a mysql convention",Action,English,58,6
327,"Fool mockingbird","A lacklusture tale of a crocodile and a composer who must defeat a madman in a u-boat",Action,English,158,6
329,"Forrest sons","A thrilling documentary of a forensic psychologist and a butler who must defeat a explorer in a jet boat",Action,English,63,6
360,"Glass dying","A astounding drama of a frisbee and a astronaut who must fight a dog in ancient japan",Action,English,103,4
371,"Gosford donnie","A epic panorama of a mad scientist and a monkey who must redeem a secret agent in berlin",Action,English,129,3
375,"Grail frankenstein","A unbelieveable saga of a teacher and a monkey who must fight a girl in an abandoned mine shaft",Action,English,85,2
395,"Handicap boondock","A beautiful display of a pioneer and a squirrel who must vanquish a sumo wrestler in soviet georgia",Action,English,108,6
417,"Hills neighbors","A epic display of a hunter and a feminist who must sink a car in a u-boat",Action,English,93,6
501,"Kissing dolls","A insightful reflection of a pioneer and a teacher who must build a composer in the first manned space station",Action,English,141,5
511,"Lawrence love","A fanciful yarn of a database administrator and a mad cow who must pursue a womanizer in berlin",Action,English,175,5
530,"Lord arizona","A action-packed display of a frisbee and a pastry chef who must pursue a crocodile in a jet boat",Action,English,108,3
542,"Lust lock","A fanciful panorama of a hunter and a dentist who must meet a secret agent in the sahara desert",Action,English,52,6
549,"Magnolia forrester","A thoughtful documentary of a composer and a explorer who must conquer a dentist in new orleans",Action,English,171,4
574,"Midnight westward","A taut reflection of a husband and a a shark who must redeem a pastry chef in a monastery",Action,English,86,5
579,"Minds truman","A taut yarn of a mad scientist and a crocodile who must outgun a database administrator in a monastery",Action,English,149,7
586,"Mockingbird hollywood","A thoughtful panorama of a man and a car who must sink a composer in berlin",Action,English,60,8
594,"Montezuma command","A thrilling reflection of a waitress and a butler who must battle a butler in a jet boat",Action,English,126,3
659,"Park citizen","A taut epistle of a sumo wrestler and a girl who must face a husband in ancient japan",Action,English,109,2
664,"Patriot roman","A taut saga of a robot and a database administrator who must challenge a astronaut in california",Action,English,65,5
697,"Primary glass","A fateful documentary of a pastry chef and a butler who must build a dog in the canadian rockies",Action,English,53,8
707,"Quest mussolini","A fateful drama of a husband and a sumo wrestler who must battle a pastry chef in a baloon factory",Action,English,177,6
717,"Rear trading","A awe-inspiring reflection of a forensic psychologist and a secret agent who must succumb a pastry chef in soviet georgia",Action,English,97,4
732,"Rings heartbreakers","A amazing yarn of a sumo wrestler and a boat who must conquer a waitress in new orleans",Action,English,58,4
748,"Rugrats shakespeare","A touching saga of a crocodile and a crocodile who must discover a technical writer in nigeria",Action,English,109,8
793,"Shrunk divine","A fateful character study of a waitress and a technical writer who must battle a hunter in a baloon",Action,English,139,4
794,"Side ark","A stunning panorama of a crocodile and a womanizer who must meet a feminist in the canadian rockies",Action,English,52,4
823,"South wait","A amazing documentary of a car and a robot who must escape a lumberjack in an abandoned amusement park",Action,English,143,7
825,"Speakeasy date","A lacklusture drama of a forensic psychologist and a car who must redeem a man in a manhattan penthouse",Action,English,165,3
838,"Stagecoach armageddon","A touching display of a pioneer and a butler who must chase a car in california",Action,English,112,6
850,"Story side","A lacklusture saga of a boy and a cat who must sink a dentist in an abandoned mine shaft",Action,English,163,7
869,"Suspects quills","A emotional epistle of a pioneer and a crocodile who must battle a man in a manhattan penthouse",Action,English,47,7
911,"Trip newton","A fanciful character study of a lumberjack and a car who must discover a cat in an abandoned amusement park",Action,English,64,8
915,"Truman crazy","A thrilling epistle of a moose and a boy who must meet a database administrator in a monastery",Action,English,92,6
927,"Uprising uptown","A fanciful reflection of a boy and a butler who must pursue a woman in berlin",Action,English,174,4
964,"Waterfront deliverance","A unbelieveable documentary of a dentist and a technical writer who must build a womanizer in nigeria",Action,English,61,5
968,"Werewolf lola","A fanciful story of a man and a sumo wrestler who must outrace a student in a monastery",Action,English,79,3
982,"Women dorado","A insightful documentary of a waitress and a butler who must vanquish a composer in australia",Action,English,126,7
991,"Worst banger","A thrilling drama of a madman and a dentist who must conquer a boy in the outback",Action,English,185,5
18,"Alter victory","A thoughtful drama of a composer and a feminist who must meet a secret agent in the canadian rockies",Animation,English,57,6
23,"Anaconda confessions","A lacklusture display of a dentist and a dentist who must fight a girl in australia",Animation,English,92,5
70,"Bikini borrowers","A astounding drama of a astronaut and a cat who must discover a woman in the first manned space station",Animation,English,142,4
78,"Blackout private","A intrepid yarn of a pastry chef and a mad scientist who must challenge a secret agent in ancient japan",Animation,English,85,7
89,"Borrowers bedazzled","A brilliant epistle of a teacher and a sumo wrestler who must defeat a man in an abandoned fun house",Animation,English,63,6
118,"Canyon stock","A thoughtful reflection of a waitress and a feminist who must escape a squirrel in a manhattan penthouse",Animation,English,85,6
121,"Carol texas","A astounding character study of a composer and a student who must overcome a composer in a monastery",Animation,English,151,6
134,"Champion flatliners","A amazing story of a mad cow and a dog who must kill a husband in a monastery",Animation,English,51,3
154,"Clash freddy","A amazing yarn of a composer and a squirrel who must escape a astronaut in australia",Animation,English,81,7
160,"Club graffiti","A epic tale of a pioneer and a hunter who must escape a girl in a u-boat",Animation,English,65,5
193,"Crossroads casualties","A intrepid documentary of a sumo wrestler and a astronaut who must battle a composer in the outback",Animation,English,153,8
208,"Dares pluto","A fateful story of a robot and a dentist who must defeat a astronaut in new orleans",Animation,English,89,3
